manufacturer_id,manufacturer_name,revenue_million,profit_margin_percent,operational_efficiency,compliance_score,customer_rating,debt_to_equity_ratio,sustainability_index,innovation_index,delivery_timeliness,after_sales_service_rating,defect_rate_percent,capacity_utilization,on_time_delivery_rate,warranty_claim_rate,regulatory_violation_count,certifications_count,contract_breach_count,legal_dispute_count,region_risk_index,market_share_percent,employee_count,training_hours_per_employee,it_system_maturity,supplier_diversity,supply_chain_resilience,carbon_intensity,renewable_energy_ratio,it_incident_rate,data_quality_score,digitization_level,average_lead_time_days,currency_volatility_index,partnership_years,trust_score,trust_status
1,Manufacturer_1,193.525,16.21,0.86,71.052,2.897,2.56,74.156,4.266,81.816,4.631,5.85,42.318,65.19,2.13,9,10,0,1,57.001,12.95,1688,95.625,4.43,85.59,56.799,76.796,41.12,5.71,70.218,37.357,7,42.902,12,0.584,FAIR
2,Manufacturer_2,475.85,14.99,0.59,56.743,2.284,1.53,88.11,82.85,14.527,4.722,5.32,46.535,81.59,0.37,5,18,0,1,67.076,4.0,4798,41.891,1.667,15.063,91.791,118.771,50.56,0.77,93.259,63.853,44,20.375,11,0.507,FAIR
3,Manufacturer_3,368.677,10.28,0.67,97.16,2.379,0.67,46.318,24.931,94.646,3.135,3.58,65.95,84.62,3.18,7,14,2,1,22.976,4.14,1500,89.252,1.18,48.311,95.36,365.947,67.43,5.55,55.236,43.549,5,81.61,12,0.671,GOOD
4,Manufacturer_4,303.343,23.22,0.83,37.518,2.542,2.24,28.918,28.394,84.322,2.695,4.98,96.773,80.31,1.13,9,14,3,1,2.899,6.32,3455,31.297,2.085,21.317,94.441,435.106,23.72,6.56,60.1,15.455,21,50.266,14,0.649,GOOD
5,Manufacturer_5,86.449,19.3,0.74,67.029,2.611,1.31,31.885,22.625,91.885,2.575,3.71,44.493,80.7,1.76,7,10,4,1,50.807,3.1,1880,82.276,3.494,23.794,43.77,269.812,60.04,0.31,55.375,31.327,7,5.004,16,0.681,GOOD
6,Manufacturer_6,86.437,30.97,0.87,76.017,2.727,1.82,69.695,84.008,28.564,4.646,6.61,83.279,66.5,0.98,7,10,4,1,8.398,9.55,4095,12.645,4.518,63.336,61.195,42.129,0.51,5.85,50.969,88.824,7,52.402,24,0.657,GOOD
7,Manufacturer_7,38.461,5.96,0.98,86.045,2.766,0.41,56.756,97.89,33.557,2.694,8.37,70.44,83.94,3.74,2,16,2,1,26.228,3.31,4916,79.956,2.019,77.567,47.319,226.762,99.77,6.2,56.057,35.369,18,77.849,7,0.58,FAIR
8,Manufacturer_8,434.426,24.32,0.56,52.558,3.367,1.93,48.649,75.519,46.993,3.593,7.89,56.551,99.07,2.81,5,15,2,0,48.745,4.56,238,33.069,3.738,70.681,71.19,227.1,36.64,6.02,99.405,46.818,51,42.633,9,0.686,GOOD
9,Manufacturer_9,304.546,27.89,0.85,74.954,3.529,1.18,20.277,82.358,22.42,2.995,3.47,59.015,99.03,1.07,7,11,3,2,4.799,2.11,878,59.242,4.922,74.543,87.82,83.434,61.61,8.47,86.87,52.71,19,70.263,14,0.678,GOOD
10,Manufacturer_10,356.956,27.78,0.62,44.256,2.927,1.07,87.546,62.05,46.542,3.497,5.14,41.372,73.97,1.07,7,8,2,0,91.593,13.63,267,34.705,2.503,34.607,53.905,337.586,45.85,5.06,73.105,50.135,14,0.049,3,0.53,FAIR
